eGRID subregion acronym,eGRID subregion name,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2,rate_lb_per_mwh,norm_factor_vs_us_mean
AKGD,ASCC Alaska Grid,1052.114,0.088,0.012,1057.841,5.053,5.434,0.423,1057.841,1.2783268078112915
AKMS,ASCC Miscellaneous,495.772,0.023,0.004,497.557,7.85,7.257,0.68,497.557,0.601262809358082
AZNM,WECC Southwest,776.036,0.051,0.007,779.382,0.419,0.441,0.121,779.382,0.941828596287703
CAMX,WECC California,497.443,0.03,0.004,499.278,0.467,0.426,0.03,499.278,0.6033425174013921
ERCT,ERCOT All,771.083,0.049,0.007,774.298,0.468,0.487,0.407,774.298,0.9356849381283836
FRCC,FRCC All,813.846,0.048,0.006,816.893,0.298,0.306,0.142,816.893,0.9871580143078114
HIMS,HICC Miscellaneous,1155.486,0.124,0.019,1163.065,7.187,7.252,3.069,1163.065,1.405482646945089
HIOA,HICC Oahu,1575.407,0.163,0.025,1586.947,3.874,3.708,6.353,1586.947,1.9177143754833719
MROE,MRO East,1479.621,0.133,0.019,1488.688,0.978,1.012,0.306,1488.688,1.7989752513534418
MROW,MRO West,936.485,0.102,0.015,943.418,0.758,0.86,0.907,943.418,1.1400546210363496
NEWE,NPCC New England,536.428,0.063,0.008,540.48,0.309,0.283,0.122,540.48,0.6531322505800464
NWPP,WECC Northwest,602.088,0.056,0.008,605.872,0.531,0.519,0.318,605.872,0.732153905645785
NYCW,NPCC NYC/Westchester,885.233,0.023,0.003,886.58,0.248,0.248,0.028,886.58,1.0713698762567674
NYLI,NPCC Long Island,1200.708,0.135,0.018,1209.311,0.919,0.857,0.474,1209.311,1.4613677010827533
NYUP,NPCC Upstate NY,274.559,0.015,0.002,275.389,0.113,0.095,0.043,275.389,0.3327883313998453
PRMS,Puerto Rico Miscellaneous,1593.481,0.087,0.014,1599.922,3.064,3.062,4.262,1599.922,1.9333937548337201
RFCE,RFC East,657.386,0.045,0.006,660.311,0.275,0.223,0.302,660.311,0.7979396268368136
RFCM,RFC Michigan,1216.404,0.116,0.016,1224.187,0.638,0.632,0.931,1224.187,1.4793443058778035
RFCW,RFC West,1000.053,0.087,0.012,1005.904,0.519,0.424,0.62,1005.904,1.2155645784996134
RMPA,WECC Rockies,1124.887,0.101,0.014,1131.733,0.613,0.64,0.348,1131.733,1.3676201179427687
SPNO,SPP North,952.575,0.1,0.014,959.381,0.536,0.599,0.16,959.381,1.1593447892498066
SPSO,SPP South,970.398,0.072,0.01,975.253,0.756,0.836,0.862,975.253,1.17852499033256
SRMV,SERC Mississippi Valley,801.015,0.04,0.006,803.658,0.492,0.525,0.602,803.658,0.9711644431554525
SRMW,SERC Midwest,1369.887,0.151,0.022,1380.154,1.002,0.746,2.41,1380.154,1.6678195088940448
SRSO,SERC South,893.29,0.064,0.009,897.659,0.389,0.352,0.151,897.659,1.0847580723124517
SRTV,SERC Tennessee Valley,933.067,0.082,0.012,938.625,0.394,0.366,0.537,938.625,1.1342626160092808
SRVC,SERC Virginia/Carolina,622.987,0.047,0.007,625.874,0.308,0.313,0.157,625.874,0.7563249226604796
U.S.,,823.149,0.066,0.009,827.52,0.504,0.485,0.473,827.52,1.0
